"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"56","GSG","11-1-C1",1,"C1","FILET","A",4,"24-B7",5,"Yellow","PS",2.347,2.863,2.687,5.965,8.805,2.863,2.687,2.775,0.95329101276731,0.968937994341207,"sphere","GSG",1,"C1",29.27892,127,3.6,"Garonne","PS","No","B2"
"57","GSG","11-3-C4",3,"C4","FILET","A",6,"24-C2",5,"White","PS",1.102,3.061,3.075,8.21,10.288,3.061,3.075,3.068,1.00342698826722,1.00228509513835,"sphere","GSG",3,"C4",128.07744,134,5.1,"Garonne","PS","No","B5"
"58","MUG","6-1-C3",1,"C3","FILET","C",3,"24-C6",5,"Red","PS",0.443,2.77,2.439,5.276,8.313,2.77,2.439,2.6045,0.908049941748807,0.938985475773016,"sphere","MUG",1,"C3",28.35888,234,7,"Garonne","PS","Yes","B4"
"59","MUG","6-1-C3",1,"C3","FILET","C",3,"24-C7",5,"Red","PS",1.59,4.822,3.889,14.441,14.937,4.822,3.889,4.3555,0.848604501300005,0.899788661888888,"sphere","MUG",1,"C3",28.35888,234,7,"Garonne","PS","Yes","B4"
"60","GSG","11-1-C3",1,"C3","FILET","B",22,"27-E1",3,"Grey","PS",0.02,1.596,1.146,1.171,4.144,1.596,1.146,0.33,1.57910571090299,0.52951417976527,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"61","GSG","11-1-C3",1,"C3","FILET","B",22,"27-E5",3,"White","PS",0.383,2.04,2.079,2.788,6.277,2.04,2.079,0.33,2.53385894960051,0.548322454872432,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"62","GSG","11-1-C3",1,"C3","FILET","B",22,"27-E6",2,"White","PS",0.099,2.969,2.887,6.541,9.33,2.969,2.887,0.08,5.9237495891551,0.29701072044289,"film","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"63","GSG","11-1-C3",1,"C3","FILET","B",22,"27-F2",5,"White","PS",0.62,3.545,3.377,9.105,10.936,3.545,3.377,3.461,0.964100129571755,0.976112917952995,"sphere","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"64","GSG","11-1-C3",1,"C3","FILET","B",22,"27-F6",3,"Black","PS",0,1.026,0.23,0.193,2.257,1.026,0.23,0.33,0.395273032568449,0.416213042107434,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"65","MUG","6-1-C3",1,"C3","FILET","A",7,"30-B2",3,"White","PS",0.85,3.959,3.566,7.326,14.396,3.959,3.566,0.33,3.11983494331944,0.421866226601172,"fragment","MUG",1,"C3",28.35888,234,7,"Garonne","PS","Yes","B4"
"66","MUG","6-1-C3",1,"C3","FILET","B",2,"30-B5",3,"White","PS",0.864,3.972,3.525,10.611,12.107,3.972,3.525,0.33,3.07891380919284,0.419325744942807,"fragment","MUG",1,"C3",28.35888,234,7,"Garonne","PS","Yes","B4"
"67","MUG","6-1-C3",1,"C3","FILET","B",2,"30-B6",3,"White","PS",0.28,3.011,2.223,5.604,9.749,3.011,2.223,0.33,2.2301142614841,0.432524418095517,"fragment","MUG",1,"C3",28.35888,234,7,"Garonne","PS","Yes","B4"
"68","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E3",5,"Red","PS",2.273,1.13,0.746,6.223,8.921,1.13,0.746,0.938,0.724599761149138,0.81832959848546,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"69","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E4",5,"Red","PS",2.428,2.834,2.79,7.849,10.034,2.834,2.79,2.812,0.988317811129963,0.992216875676338,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"70","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E9",5,"Red","PS",0.298,2.979,0.585,5.296,8.373,2.979,0.585,1.782,0.253902375786763,0.48974970881245,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
